Work_ID,Work_Name,Movement_Name,Track Title
6422,"3 Romanzen, Op. 28",No. 2 in F-Sharp Major,
6422,"10 Impromptus on a Theme of Clara Wieck, Op. 5 (1850 Version)","No. 6, Schnell",
6452,"4 Preludes, Op. 22",,
6460,"Piano Concerto in F-Sharp Minor, Op. 20",III. Allegro moderato,
6463,"12 Études, Op. 8",No. 12 in D-Sharp Minor,
6467,"Piano Sonata No. 5, Op. 53",,
6468,"Piano Sonata No. 6 in G Major, Op. 62",,
6488,"24 Preludes, Op. 11",No. 11 in B Major,
6488,"24 Preludes, Op. 11",No. 13 in G-Flat Major,
6488,"24 Preludes, Op. 11",No. 16 in B-Flat Minor,
6488,"24 Préludes, Op. 11",No. 11 in B Major,
6495,Carmen Ballet (After G. Bizet),VIII. Bolero,
6495,Carmen Ballet (After G. Bizet),XII. Fortune Telling,
6495,Carmen Ballet (After G. Bizet),III. First Intermezzo,
6506,12 Smaasange,"Altid frejdig, nar du gar",
6508,"Cello Concerto No. 1 in E-Flat Major, Op. 107",II. Moderato,
6532,"Karelia Suite, Op. 11",III. Alla marcia. Moderato,
6597,"Triumphal Symphony in E Major, Op. 6",I. Allegro vivace,
6609,"String Quartet No. 1 in E Minor ""From My Life""",IV. Vivace,
6979,"Seid umschlungen Millionen, Op. 443",,
7036,"Schatz-Walzer, Op. 418",,
7246,"Unter Donner und Blitz, Polka, Op. 324",,
7448,Duo concertant,II. Eglogue I,
7545,"4 Studies, Op. 4","No. 2, Allegro molto",
7636,"Coronation March, TH 50",,
7667,"Concert Fantasia, Op. 56, TH 61",Ib. Quasi rondo. Lo stesso tempo,
7698,"6 Romances, Op. 73","No. 6, Snova, kak prezhde, odin",
7978,La forza del destino,Overture,
8022,Messa da Requiem,Dies irae. Tuba mirum,
8035,Giovanna d'Arco,Qui! - O fatidica foresta,
8059,"Sonata in A Minor, Op. 37 No. 5",III. Allegro,
8070,Il trovatore,Non son tuo figlio? - Mal reggendo all'aspro assalto - Inoltra il pie,
8070,Il trovatore (Highlights),Tutto e deserto! - Il balen del suo sorriso,
8070,"Il trovatore, Act I",Sull'orlo dei tetti,
8070,"Il trovatore, Act II","Vedi, le fosche notturne",
8070,"Il trovatore, Act II",Perigliarti ancor languente,
8070,"Il trovatore, Act III",Giorni poveri vivea,
8070,"Il trovatore, Act IV",Ai nostri Monti,
8070,"Il trovatore, Act IV",Madre... non dormi?,
8070,"Il trovatore, Act IV",Udite? Come albeggi,
8124,"A Prole do Bebê No.1, W140","O Polichinelo ""Punch""",
8124,"Cirandas, W220","No. 11, Nesta Rua, Nesta Rua",
8165,The King of Denmark's Health,,
8176,"Oboe Concerto in C Major, RV 452",II. Adagio,
8241,"Gloria in D Major, RV 589",X. Qui sedes ad dexteram Patris,
8289,"Die Meistersinger von Nurnberg, WWV 96, Act I (Sung in Italian)","Signor! Cantor, sul nostro suol",
8289,"Die Meistersinger von Nurnberg, WWV 96, Act II (Sung in Italian)",Chissà se il Maestro Sachs ci stà,
8289,"Die Meistersinger von Nurnberg, WWV 96, Act III (Sung in Italian)",Dell'alba tinta del roseo chiaror,
8410,"Rondo brillante in E-Flat Major, Op. 62, J. 252",,
8449,When David Heard,,
8625,"Fantaisies nationales, Op. 59","No. 4, Suedois",
8654,Libro de música de vihuela de mano intitulado El maestro,Pavana No. 4,
8654,Libro de música de vihuela de mano intitulado El maestro,Fantasia No. 8,
8659,Russian Chant for Vespers,,
8676,"The Sleeping Beauty, Op. 66, TH 13, Act II ""The Vision""","No. 20, Scène et final. Le réveil d'Aurore",
8676,"The Sleeping Beauty, Op. 66, TH 13, Act III ""The Wedding""","No. 29a, Sarabande",
8676,"The Sleeping Beauty, Op. 66, TH 13, Act III ""The Wedding""","No. 23f, Pas de quatre. Coda",
8676,"The Sleeping Beauty, Op. 66, TH 13, Prologue ""The Christening""","No. 3a, Pas de six. Grand adage. Petit allégro",
8697,"5 Pieces, Op. 85 ""Flowers""","No. 3, Iris",
8741,"Fidelio, Op. 72",Abscheulicher! wo eilst du hin?,
8948,"Flute Quartet in D Major, Op. 8",II. Un poco largo,
